Wed Nov 30 03:59:26 2022    output.dat

         2990370 function calls (2984452 primitive calls) in 45.598 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18372    0.007    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:108(alive)
       47    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
     1531    0.007    0.000    0.007    0.000 {method 'tick' of 'Clock' objects}
      852    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
     1531    0.007    0.000    0.042    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:137(checkVictory)
     4044    0.007    0.000    0.009    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\ntpath.py:124(splitdrive)
     9721    0.006    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:133(visible)
     3062    0.006    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\drawable_shapes\drawable_shape.py:297(update)
      589    0.006    0.000    0.144    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\GameMap.py:108(attackEnemyTerritory)
      697    0.006    0.000    0.215    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Game.py:125(goToNextStage)
      410    0.006    0.000    0.017    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:192(process_events)
        5    0.006    0.001    0.006    0.001 {built-in method _imp.create_dynamic}
    11138    0.005    0.000    0.005    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:233(__next)
     1941    0.005    0.000    0.005    0.000 {built-in method pygame.mouse.get_pos}
     1531    0.005    0.000    0.013    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:550(_update_mouse_position)
    43848    0.005    0.000    0.005    0.000 C:\Users\gffra\Documents\UFF\2022.2\ES2\war-es2-22-2\classes\Dealer.py:157(<lambda>)
     1531    0.005    0.000    0.013    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame\sprite.py:423(__iter__)
     2623    0.005    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\random.py:292(randrange)
       47    0.005    0.000    0.005    0.000 {built-in method io.open_code}
     1531    0.004    0.000    0.017    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\elements\ui_button.py:300(update)
25228/24525    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     1531    0.004    0.000    0.010    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\ui_appearance_theme.py:148(update_caching)
     1531    0.004    0.000    0.458    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\ui_manager.py:326(draw_ui)
     1531    0.004    0.000    0.454    0.000 C:\Users\gffra\AppData\Local\Programs\Python\Python310\lib\site-packages\pygame_gui\core\layered_gui_group.py:265(draw)
